INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,selected_model
UNKNOWN_SKU_4658,False,40200.64,629.8354012544146,0.0,11631.047575197308,-0.9843327021347318,Damped ETS
UNKNOWN_SKU_46948,False,29475.11,25203.526141439605,13609.97978448465,33269.61511316508,-0.14492172746973275,Damped ETS
UNKNOWN_SKU_470410,False,72.64,18.29802325409376,0.0,109.87809464242696,-0.7480999001363744,Damped ETS
UNKNOWN_SKU_47233,False,138916.43999999997,118136.55585440586,63496.07488985132,156152.1006539117,-0.14958549287322742,Damped ETS
UNKNOWN_SKU_4741,False,0.0,0.0,0.0,1.260738868231459,,Damped ETS
UNKNOWN_SKU_4784,False,0.0,4.8978352976975605,0.0,6.15857416592902,,Damped ETS
UNKNOWN_SKU_480610,False,0.0,6.980298446021905,0.7152838993526567,8.241037314253365,,Damped ETS
UNKNOWN_SKU_48194,False,0.0,0.060037251115273305,0.0,1.3207761193467324,,Damped ETS
UNKNOWN_SKU_484741,False,0.07,0.06475058342461547,0.0,1.3254894516560745,-0.07499166536263624,Damped ETS
UNKNOWN_SKU_484745,False,0.09,0.0830560405349827,0.0,1.3437949087664418,-0.07715510516685886,Damped ETS
UNKNOWN_SKU_484755,False,47483.01,157916.32742417385,0.0,217780.00371179692,2.3257438276169484,Damped ETS
UNKNOWN_SKU_485538,False,23039.78,36581.74018572856,0.0,65628.88634723036,0.5877643009494258,Damped ETS
UNKNOWN_SKU_48678,False,0.0,42.97061715483865,36.7056026081694,44.231356023070106,,Damped ETS
UNKNOWN_SKU_48811,False,4336.78,4779.815698349625,0.0,10247.362807318452,0.10215775260668636,Damped ETS
UNKNOWN_SKU_48812,False,13027.01,0.0,0.0,3564.9407820889373,-1.0,Damped ETS
UNKNOWN_SKU_48813,False,1286.7500000000002,1428.7075514235494,0.0,3050.9632901203795,0.11032255793553447,Damped ETS
UNKNOWN_SKU_49139,False,35451.64,37233.79667534233,23289.48122511743,46935.40872814151,0.050270077078023334,Damped ETS
UNKNOWN_SKU_49143,False,7223.43,15976.401811236832,13135.185253903572,17953.148600681587,1.2117473016609606,Damped ETS
UNKNOWN_SKU_49597,False,0.0,58.299747141190565,52.034732594521316,59.56048600942202,,Damped ETS
UNKNOWN_SKU_49819,False,21110.43,5518.754371641544,0.0,11295.784774967691,-0.7385768849027925,Damped ETS
UNKNOWN_SKU_49820,False,15641.000000000002,22298.722891331512,0.0,42017.93952933977,0.4256583908529832,Damped ETS
UNKNOWN_SKU_49875,False,11455.800000000001,5789.083217540134,1283.1340164682942,8924.050382795587,-0.4946591929380634,Damped ETS
UNKNOWN_SKU_49876,False,12160.94,15243.803572743866,10460.499231075664,18571.737684603504,0.253505368231721,Damped ETS
UNKNOWN_SKU_499942,False,58.900000000000006,112.80312725471532,0.0,187.06064659354826,0.9151634508440629,Damped ETS
UNKNOWN_SKU_499955,False,926.01,756.9848633745933,0.0,1924.4416627456067,-0.18253057377934012,Damped ETS
