ATC5,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
J01A A02 Doxycycline,72926.68272539761,71026.3128779585,73034.7283799461,58309.69656147502,66459.08688663707,71486.34212670554,77480.73369869922,70232.17833623302,74681.04422619892,85565.73951811055,79941.4527315787,75710.07508229208
J01A A07 Tetracycline,30607.50140474857,31282.92873292837,33588.810959342605,27483.795622542515,28716.875179831382,28607.49089939154,33161.32975698027,34167.627749436826,33559.49303404664,33045.38373626783,30036.635409537015,29883.710472640705
J01A A12 Tigecycline,113.09831010589662,104.08869323787908,82.19055595352343,79.19200233609722,97.77071565221462,85.28964251516689,81.63674021558705,81.80677458598154,90.39715829235547,115.57582146751295,124.01510821769729,116.54769382790313
J01B A01 Chloramphenicol,115292.63178006414,111806.68241843973,128603.28056871987,104471.31917060434,114354.15381157538,129421.53127270233,146478.9571260794,146878.01806898334,132754.65324282175,124633.6658430439,113223.69527934793,117097.27717420745
J01B A02 Thiamphenicol,103.5010212152884,114.96713203290233,62.663273924003754,73.19144067389516,75.24642731081858,64.73246985736759,84.57735713161708,90.12612018802696,124.68038387016513,182.32344805288594,180.9391526360729,185.9325695396327
J01C A01 Ampicillin,38538.68345859353,35546.61538595687,37526.90044804759,20213.986017920237,15424.799994018402,12196.762695096997,18662.10957615992,19000.641801210317,30745.058701450693,38401.996941843056,34426.25985435699,35200.77690456819
J01C A04 Amoxicillin,133941.8174222819,119777.00980907067,123235.56983575656,75689.05157436001,66310.52228249761,59361.95336626243,70320.4187505291,74870.97917519722,112379.48163218654,136192.15691503277,120402.01885856458,134074.62413064478
J01C E01 Benzylpenicillin,28355.198251315815,25900.00372359758,28316.56408941966,20701.30237007398,21954.16738259411,23827.627780606872,29394.49928701375,29931.744880135924,30728.293742630325,30877.152820622512,28529.542871012924,28200.710899321915
J01C E08 Benzathine benzylpenicillin,0.0893121240365971,0.025770931952868073,0.0,0.026642308043989572,0.007056404481480261,0.0,0.02784495255816126,0.0,0.006584954235432006,0.0,0.0012811427872349759,0.0036141588379384974
J01C E30 Combinations,28132.25805558842,30348.66243654381,38294.45881104972,26898.222380396048,25502.047705614696,23919.63403553121,28152.52076920602,28228.05102588746,31655.714500974216,36179.07175078521,34410.442820375596,31861.85774578951
J01C R01 Ampicillin and beta-lactamase inhibitor,1836.1969353223944,1403.2063015877761,1906.9706582288661,0.0,0.0,0.0,0.0,0.0,0.0,1459.7391542336572,3138.6962493758588,2435.6815891184046
J01C R02 Amoxicillin and beta-lactamase inhibitor,303555.2277362361,286264.1829099902,276991.55152896006,203299.32010410257,187927.7650441833,177746.63267621445,198344.50446180606,199792.37237024607,249721.29957696467,310924.49662230624,295614.85433854617,312108.6137915047
J01C R05 Piperacillin and beta-lactamase inhibitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.9594680783168,329.5541720498025
