INN,month,point_forecast,P10_empirical,P90_empirical
ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,2024-10-01,3593.9096698876556,50.461334961847115,5275.226638155344
ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,2024-11-01,3802.091966102699,647.5152700984736,4996.523939566576
ACHILLEA MILLEFOLIUM+CORIANDRUM SATIVUM+HELICHRYSUM ARENARIUM+MENTHA PIPERITA,2024-12-01,4182.943152116134,1327.2116854406117,5210.333921798796
ACICLOVIRUM,2024-01-01,289611.4914409189,247181.23475421243,324780.73924388376
ACICLOVIRUM,2024-02-01,249689.47427127286,210518.30944515287,337284.29906834534
ACICLOVIRUM,2024-03-01,250766.46799712878,134581.27037446108,307064.36539404804
ACICLOVIRUM,2024-04-01,218871.17763938615,137523.3859826355,304692.1047589333
ACICLOVIRUM,2024-05-01,196909.99001476468,122092.29270514012,265087.00359069195
ACICLOVIRUM,2024-06-01,170296.22697664026,91829.47657893713,235077.58141351398
ACICLOVIRUM,2024-07-01,206784.9668077133,143524.9932966608,278384.712537913
ACICLOVIRUM,2024-08-01,232899.4089341444,160712.3358638333,322331.03885239235
